Date,Team,Home/Away,Opp,Venue,W/L,Team Pts,Opp Pts,Spread,Transition_percent_O,Transition_percent_D,Total_Transition_percent
2024-12-19,BKN,Away,TOR,TOR,W,101,94,2.5,0.13,0.11,0.24
2024-12-16,BKN,Home,CLE,BKN,L,101,130,10.5,0.16,0.207,0.367
2024-12-13,BKN,Away,MEM,MEM,L,119,135,10,0.18,0.206,0.382
2024-12-08,BKN,Home,MIL,BKN,L,113,118,6,0.13,0.132,0.264
2024-12-04,BKN,Home,IND,BKN,W,99,90,3,0.20,0.189,0.389
2024-12-02,BKN,Away,CHI,CHI,L,102,128,7.5,0.15,0.223,0.369
2024-12-01,BKN,Home,ORL,BKN,L,92,100,6.5,0.14,0.219,0.356
2024-11-29,BKN,Home,ORL,BKN,L,100,123,8,0.18,0.178,0.356
2024-11-27,BKN,Away,PHX,PHX,W,127,117,9.5,0.18,0.17,0.35
2024-11-25,BKN,Away,GSW,GSW,W,128,120,13.5,0.13,0.204,0.335
2024-11-24,BKN,Away,SAC,SAC,W,108,103,10.5,0.14,0.098,0.236
2024-11-22,BKN,Away,PHI,PHI,L,98,113,2.5,0.09,0.198,0.286
2024-11-19,BKN,Home,CHA,BKN,W,116,115,-1.5,0.15,0.179,0.328
2024-11-17,BKN,Away,NYK,NYK,L,104,114,10,0.10,0.135,0.237
2024-11-15,BKN,Away,NYK,NYK,L,122,124,8.5,0.16,0.177,0.332
2024-11-13,BKN,Home,BOS,BKN,L,114,139,10,0.13,0.156,0.289
2024-11-11,BKN,Away,NOP,NOP,W,107,105,-1.5,0.12,0.215,0.335
2024-11-09,BKN,Away,CLE,CLE,L,100,105,13,0.09,0.167,0.254
2024-11-08,BKN,Away,BOS,BOS,L,104,108,13.5,0.14,0.158,0.297
2024-11-04,BKN,Home,MEM,BKN,W,106,104,4,0.11,0.129,0.238
2024-11-03,BKN,Home,DET,BKN,L,92,106,-3,0.14,0.169,0.312
2024-11-01,BKN,Home,CHI,BKN,W,120,112,-1,0.22,0.2,0.418
2024-10-30,BKN,Away,MEM,MEM,W,119,106,12,0.19,0.149,0.34
2024-10-29,BKN,Home,DEN,BKN,L,139,144,5.5,0.13,0.135,0.268
2024-10-27,BKN,Home,MIL,BKN,W,115,102,8.5,0.15,0.14,0.294
2024-10-25,BKN,Away,ORL,ORL,L,101,116,12,0.14,0.175,0.319
2024-10-23,BKN,Away,ATL,ATL,L,116,120,7,0.14,0.206,0.35
2025-04-13,CHA,Away,BOS,BOS,L,86,93,10.5,0.25,0.144,0.391
2025-04-11,CHA,Away,BOS,BOS,L,94,130,20,0.08,0.078,0.155
2025-04-09,CHA,Away,TOR,TOR,L,96,126,11.5,0.11,0.198,0.308
2025-04-08,CHA,Home,MEM,CHA,L,100,124,14.5,0.02,0.212,0.236
2025-04-06,CHA,Home,CHI,CHA,L,117,131,8,0.07,0.153,0.224
2025-04-04,CHA,Home,SAC,CHA,L,102,125,11.5,0.06,0.112,0.173
2025-04-02,CHA,Away,IND,IND,L,105,119,15,0.07,0.215,0.289
2025-03-31,CHA,Home,UTA,CHA,W,110,106,-4.5,0.09,0.181,0.266
2025-03-30,CHA,Away,NOP,NOP,L,94,98,2.5,0.22,0.216,0.432
2025-03-28,CHA,Away,TOR,TOR,L,97,108,5.5,0.12,0.24,0.355
2025-03-25,CHA,Home,ORL,CHA,L,104,111,5,0.12,0.149,0.266
2025-03-23,CHA,Away,MIA,MIA,L,105,122,7.5,0.15,0.149,0.296
2025-03-21,CHA,Away,OKC,OKC,L,106,141,20.5,0.08,0.148,0.232
2025-03-20,CHA,Home,NYK,CHA,W,115,98,7.5,0.03,0.109,0.142
2025-03-18,CHA,Home,ATL,CHA,L,102,134,8,0.16,0.194,0.349
2025-03-16,CHA,Away,LAC,LAC,L,88,123,13.5,0.15,0.209,0.36
2025-03-14,CHA,Away,SAS,SAS,W,145,134,3,0.14,0.159,0.299
2025-03-12,CHA,Away,ATL,ATL,L,110,123,7.5,0.09,0.135,0.221
2025-03-10,CHA,Away,MIA,MIA,W,105,102,9,0.12,0.074,0.191
2025-03-08,CHA,Home,BKN,CHA,W,105,102,5,0.15,0.186,0.337
2025-03-07,CHA,Home,CLE,CHA,L,117,118,15.5,0.11,0.119,0.228
2025-03-05,CHA,Home,MIN,CHA,L,110,125,9,0.16,0.156,0.311
2025-03-03,CHA,Home,GSW,CHA,L,101,119,13,0.16,0.255,0.41
2025-03-01,CHA,Home,WAS,CHA,L,100,113,-3.5,0.12,0.13,0.252
2025-02-27,CHA,Away,DAL,DAL,L,96,103,11,0.12,0.19,0.309
2025-02-25,CHA,Away,GSW,GSW,L,92,128,17,0.19,0.202,0.393
2025-02-24,CHA,Away,SAC,SAC,L,88,130,11,0.11,0.131,0.238
2025-02-22,CHA,Away,POR,POR,L,88,141,6,0.14,0.244,0.382
2025-02-20,CHA,Away,DEN,DEN,L,115,129,18,0.15,0.14,0.289
2025-02-19,CHA,Away,LAL,LAL,W,100,97,13,0.16,0.158,0.316
2025-02-12,CHA,Away,ORL,ORL,L,86,102,13,0.11,0.12,0.23
2025-02-10,CHA,Away,BKN,BKN,L,89,97,5,0.18,0.11,0.286
2025-02-09,CHA,Away,DET,DET,L,102,112,12,0.11,0.204,0.314
2025-02-07,CHA,Home,SAS,CHA,W,117,116,10,0.05,0.177,0.23
2025-02-05,CHA,Home,MIL,CHA,L,102,112,10.5,0.08,0.169,0.253
2025-02-03,CHA,Home,WAS,CHA,L,114,124,-4.5,0.12,0.184,0.303
2025-02-01,CHA,Home,DEN,CHA,L,104,107,12.5,0.05,0.163,0.214
2025-01-31,CHA,Home,LAC,CHA,L,104,112,13.5,0.11,0.156,0.269
2025-01-29,CHA,Home,BKN,CHA,L,83,104,-1.5,0.13,0.154,0.287
2025-01-27,CHA,Home,LAL,CHA,L,107,112,5,0.12,0.17,0.287
2025-01-25,CHA,Home,NOP,CHA,W,123,92,1.5,0.17,0.105,0.273
2025-01-24,CHA,Home,POR,CHA,L,97,102,1.5,0.13,0.253,0.379
2025-01-22,CHA,Away,MEM,MEM,L,120,132,11.5,0.18,0.129,0.307
2025-01-20,CHA,Home,DAL,CHA,W,110,105,4,0.22,0.153,0.369
2025-01-17,CHA,Away,CHI,CHI,W,125,123,4.5,0.15,0.147,0.294
2025-01-15,CHA,Away,UTA,UTA,W,117,112,-6,0.12,0.13,0.25
2025-01-12,CHA,Away,PHX,PHX,L,113,120,7,0.19,0.162,0.356
2025-01-07,CHA,Home,PHX,CHA,W,115,104,5,0.18,0.089,0.269
2025-01-05,CHA,Away,CLE,CLE,L,105,115,16,0.17,0.2,0.368
2025-01-03,CHA,Away,DET,DET,L,94,98,7.5,0.13,0.268,0.393
2024-12-30,CHA,Home,CHI,CHA,L,108,115,4,0.09,0.239,0.328
2024-12-28,CHA,Home,OKC,CHA,L,94,106,14,0.16,0.163,0.325
2024-12-26,CHA,Away,WAS,WAS,L,110,113,-5,0.14,0.221,0.356
2024-12-23,CHA,Home,HOU,CHA,L,101,114,6,0.13,0.09,0.215
2024-12-20,CHA,Away,PHI,PHI,L,98,108,13.5,0.11,0.163,0.273
2024-12-19,CHA,Away,WAS,WAS,L,114,123,-4,0.14,0.11,0.25
2024-12-16,CHA,Home,PHI,CHA,L,108,121,2.5,0.20,0.18,0.378
2024-12-13,CHA,Away,CHI,CHI,L,95,109,5.5,0.12,0.202,0.317
2024-12-08,CHA,Away,IND,IND,W,113,109,12,0.10,0.139,0.24
2024-12-07,CHA,Home,CLE,CHA,L,102,116,13.5,0.12,0.11,0.231
2024-12-05,CHA,Away,NYK,NYK,L,101,125,14.5,0.06,0.114,0.17
2024-12-03,CHA,Home,PHI,CHA,L,104,110,5,0.13,0.185,0.315
2024-11-30,CHA,Home,ATL,CHA,L,104,107,5.5,0.12,0.144,0.266
2024-11-29,CHA,Home,NYK,CHA,L,98,99,12.5,0.08,0.154,0.231
2024-11-27,CHA,Home,MIA,CHA,L,94,98,4.5,0.11,0.054,0.16
2024-11-25,CHA,Home,ORL,CHA,L,84,95,4.5,0.17,0.174,0.339
2024-11-23,CHA,Away,MIL,MIL,L,119,125,8,0.22,0.157,0.373
2024-11-21,CHA,Home,DET,CHA,W,123,121,2.5,0.12,0.19,0.314
2024-11-19,CHA,Away,BKN,BKN,L,115,116,1.5,0.18,0.149,0.328
2024-11-17,CHA,Away,CLE,CLE,L,114,128,10,0.14,0.16,0.297
2024-11-16,CHA,Home,MIL,CHA,W,115,114,4,0.10,0.073,0.169
2024-11-12,CHA,Away,ORL,ORL,L,89,114,9,0.20,0.211,0.413
2024-11-10,CHA,Away,PHI,PHI,L,105,107,5,0.17,0.087,0.258
2024-11-08,CHA,Home,IND,CHA,W,103,83,7,0.10,0.154,0.255
2024-11-06,CHA,Home,DET,CHA,W,108,107,1,0.10,0.19,0.291
2024-11-04,CHA,Away,MIN,MIN,L,93,114,11.5,0.13,0.112,0.237
2024-11-02,CHA,Home,BOS,CHA,L,103,113,10,0.18,0.167,0.346
2024-11-01,CHA,Home,BOS,CHA,L,109,124,10.5,0.15,0.189,0.338
2024-10-30,CHA,Home,TOR,CHA,W,138,133,-6.5,0.06,0.098,0.157
2024-10-26,CHA,Home,MIA,CHA,L,106,114,6,0.10,0.113,0.216
2024-10-25,CHA,Away,ATL,ATL,L,120,125,5.5,0.14,0.252,0.388
2024-10-23,CHA,Away,HOU,HOU,W,110,105,8.5,0.13,0.104,0.23
2025-04-16,CHI,Home,MIA,CHI,L,90,109,-2,0.16,0.147,0.307
2025-04-13,CHI,Away,PHI,PHI,W,122,102,-8,0.17,0.159,0.33
2025-04-11,CHI,Home,WAS,CHI,W,119,89,-14,0.21,0.103,0.309
2025-04-09,CHI,Home,MIA,CHI,W,119,111,2.5,0.11,0.13,0.238
2025-04-08,CHI,Away,CLE,CLE,L,113,135,15,0.11,0.147,0.256
2025-04-06,CHI,Away,CHA,CHA,W,131,117,-8,0.15,0.071,0.224
2025-04-04,CHI,Home,POR,CHI,W,118,113,-6,0.16,0.178,0.337
2025-04-01,CHI,Home,TOR,CHI,W,137,118,-4,0.18,0.149,0.328
2025-03-31,CHI,Away,OKC,OKC,L,117,145,15.5,0.13,0.146,0.279
2025-03-29,CHI,Home,DAL,CHI,L,119,120,-3,0.21,0.151,0.357
2025-03-27,CHI,Home,LAL,CHI,W,119,117,4,0.20,0.146,0.35
2025-03-24,CHI,Away,DEN,DEN,W,129,119,2.5,0.19,0.149,0.337
2025-03-22,CHI,Away,LAL,LAL,W,146,115,10.5,0.28,0.144,0.425
2025-03-20,CHI,Away,SAC,SAC,W,128,116,7.5,0.18,0.103,0.28
2025-03-19,CHI,Away,PHX,PHX,L,121,127,5.5,0.18,0.07,0.252
2025-03-17,CHI,Away,UTA,UTA,W,111,97,-4.5,0.25,0.114,0.364
2025-03-15,CHI,Away,HOU,HOU,L,114,117,8.5,0.12,0.126,0.244
2025-03-13,CHI,Home,BKN,CHI,W,116,110,-1.5,0.14,0.095,0.23
2025-03-10,CHI,Home,IND,CHI,W,121,103,3.5,0.15,0.17,0.319
2025-03-08,CHI,Away,MIA,MIA,W,114,109,5,0.18,0.181,0.364
2025-03-06,CHI,Away,ORL,ORL,W,125,123,8,0.15,0.069,0.218
2025-03-04,CHI,Home,CLE,CHI,L,117,139,13.5,0.23,0.117,0.342
2025-03-02,CHI,Away,IND,IND,L,112,127,11.5,0.13,0.165,0.29
2025-02-28,CHI,Home,TOR,CHI,W,125,115,-1,0.17,0.145,0.319
2025-02-26,CHI,Home,LAC,CHI,L,117,122,9.5,0.09,0.122,0.216
2025-02-24,CHI,Away,PHI,PHI,W,142,110,6,0.19,0.18,0.371
2025-02-22,CHI,Home,PHX,CHI,L,117,121,5,0.11,0.089,0.199
2025-02-20,CHI,Away,NYK,NYK,L,111,113,10,0.17,0.185,0.35
2025-02-12,CHI,Home,DET,CHI,L,110,128,6,0.17,0.152,0.323
2025-02-11,CHI,Home,DET,CHI,L,92,132,5,0.13,0.169,0.299
2025-02-08,CHI,Home,GSW,CHI,L,111,132,6.5,0.12,0.11,0.231
2025-02-05,CHI,Away,MIN,MIN,L,108,127,11.5,0.11,0.12,0.229
2025-02-04,CHI,Home,MIA,CHI,W,133,124,4,0.14,0.088,0.224
2025-02-02,CHI,Away,DET,DET,L,119,127,6,0.20,0.123,0.321
2025-01-31,CHI,Away,TOR,TOR,W,122,106,4.5,0.11,0.19,0.3
2025-01-29,CHI,Away,BOS,BOS,L,100,122,14.5,0.16,0.14,0.303
2025-01-27,CHI,Home,DEN,CHI,W,129,121,9.5,0.18,0.208,0.387
2025-01-25,CHI,Home,PHI,CHI,L,97,109,-3.5,0.15,0.14,0.29
2025-01-23,CHI,Away,GSW,GSW,L,106,131,4,0.12,0.115,0.23
2025-01-20,CHI,Away,LAC,LAC,W,112,99,6.5,0.14,0.158,0.296
2025-01-19,CHI,Away,POR,POR,L,102,113,-4.5,0.15,0.14,0.292
2025-01-17,CHI,Home,CHA,CHI,L,123,125,-4.5,0.15,0.147,0.294
2025-01-15,CHI,Home,ATL,CHI,L,94,110,-6,0.17,0.192,0.357
2025-01-14,CHI,Home,NOP,CHI,L,113,119,-1.5,0.14,0.16,0.301
2025-01-12,CHI,Home,SAC,CHI,L,119,124,5,0.13,0.129,0.26
2025-01-10,CHI,Home,WAS,CHI,W,138,105,-10,0.22,0.154,0.374
2025-01-08,CHI,Away,IND,IND,L,113,129,5,0.10,0.129,0.227
2025-01-06,CHI,Home,SAS,CHI,W,114,110,3,0.20,0.175,0.379
2025-01-04,CHI,Home,NYK,CHI,W,139,126,6,0.10,0.135,0.232
2025-01-01,CHI,Away,WAS,WAS,L,107,125,-6.5,0.20,0.135,0.337
2024-12-30,CHI,Away,CHA,CHA,W,115,108,-4,0.24,0.089,0.328
2024-12-28,CHI,Home,MIL,CHI,W,116,111,2,0.15,0.139,0.288
2024-12-26,CHI,Away,ATL,ATL,L,133,141,5,0.15,0.202,0.354
2024-12-23,CHI,Home,MIL,CHI,L,91,112,-3,0.20,0.097,0.301
2024-12-21,CHI,Home,BOS,CHI,L,98,123,12,0.17,0.129,0.303
2024-12-19,CHI,Away,BOS,BOS,W,117,108,14.5,0.07,0.093,0.165
2024-12-16,CHI,Away,TOR,TOR,W,122,121,-1,0.15,0.13,0.281
2024-12-13,CHI,Home,CHA,CHI,W,109,95,-5.5,0.20,0.115,0.317
2024-12-08,CHI,Home,PHI,CHI,L,100,108,3,0.18,0.108,0.286
2024-12-06,CHI,Home,IND,CHI,L,123,132,3,0.11,0.136,0.244
2024-12-05,CHI,Away,SAS,SAS,W,139,124,2.5,0.10,0.158,0.256
2024-12-02,CHI,Home,BKN,CHI,W,128,102,-7.5,0.22,0.146,0.369
2024-11-29,CHI,Home,BOS,CHI,L,129,138,12.5,0.12,0.057,0.174
2024-11-27,CHI,Away,ORL,ORL,L,119,133,9.5,0.22,0.172,0.395
2024-11-26,CHI,Away,WAS,WAS,W,127,108,-5.5,0.19,0.108,0.298
2024-11-23,CHI,Home,MEM,CHI,L,131,142,4,0.08,0.126,0.204
2024-11-22,CHI,Home,ATL,CHI,W,136,122,2.5,0.19,0.165,0.358
2024-11-20,CHI,Away,MIL,MIL,L,106,122,9,0.19,0.098,0.283
2024-11-18,CHI,Away,DET,DET,W,122,112,4,0.08,0.146,0.228
2024-11-17,CHI,Home,HOU,CHI,L,107,143,5,0.18,0.253,0.434
2024-11-15,CHI,Away,CLE,CLE,L,126,144,10,0.11,0.111,0.222
2024-11-13,CHI,Away,NYK,NYK,W,124,123,8.5,0.19,0.126,0.312
2024-11-11,CHI,Home,CLE,CHI,L,113,119,8.5,0.20,0.163,0.359
2024-11-09,CHI,Away,ATL,ATL,W,125,113,2.5,0.22,0.123,0.344
2024-11-07,CHI,Home,MIN,CHI,L,119,135,9.5,0.08,0.14,0.216
2024-11-06,CHI,Away,DAL,DAL,L,99,119,10,0.20,0.225,0.427
2024-11-04,CHI,Home,UTA,CHI,L,126,135,-7.5,0.13,0.107,0.234
2024-11-01,CHI,Away,BKN,BKN,L,112,120,1,0.20,0.218,0.418
2024-10-30,CHI,Home,ORL,CHI,W,102,99,5.5,0.19,0.139,0.327
2024-10-28,CHI,Away,MEM,MEM,W,126,123,5,0.14,0.165,0.3
2024-10-26,CHI,Home,OKC,CHI,L,95,114,9.5,0.25,0.292,0.54
2024-10-25,CHI,Away,MIL,MIL,W,133,122,9,0.17,0.124,0.297
2024-10-23,CHI,Away,NOP,NOP,L,111,123,5,0.18,0.24,0.423
2025-05-13,CLE,Home,IND,CLE,L,105,114,-8.5,0.16,0.122,0.284
2025-05-11,CLE,Away,IND,IND,L,109,129,-5,0.05,0.067,0.12
2025-05-09,CLE,Away,IND,IND,W,126,104,-5.5,0.11,0.158,0.264
2025-05-06,CLE,Home,IND,CLE,L,119,120,-5.5,0.09,0.19,0.28
2025-05-04,CLE,Home,IND,CLE,L,112,121,-8.5,0.15,0.182,0.335
2025-04-28,CLE,Away,MIA,MIA,W,138,83,-8,0.21,0.167,0.372
2025-04-26,CLE,Away,MIA,MIA,W,124,87,-4.5,0.14,0.088,0.227
2025-04-23,CLE,Home,MIA,CLE,W,121,112,-12,0.12,0.075,0.192
2025-04-20,CLE,Home,MIA,CLE,W,121,100,-12.5,0.07,0.119,0.19
2025-04-13,CLE,Home,IND,CLE,L,118,126,7,0.14,0.216,0.353
2025-04-11,CLE,Away,NYK,NYK,W,108,102,3.5,0.15,0.13,0.281
2025-04-10,CLE,Away,IND,IND,L,112,114,10,0.11,0.141,0.253
2025-04-08,CLE,Home,CHI,CLE,W,135,113,-15,0.15,0.109,0.256
2025-04-06,CLE,Home,SAC,CLE,L,113,120,-9.5,0.20,0.137,0.333
2025-04-04,CLE,Away,SAS,SAS,W,114,113,-12.5,0.17,0.21,0.38
2025-04-02,CLE,Home,NYK,CLE,W,124,105,-10.5,0.16,0.124,0.283
2025-03-30,CLE,Home,LAC,CLE,W,127,122,-7,0.18,0.136,0.319
2025-03-28,CLE,Away,DET,DET,L,122,133,-6.5,0.17,0.198,0.366
2025-03-27,CLE,Home,SAS,CLE,W,124,116,-14,0.19,0.204,0.396
2025-03-25,CLE,Away,POR,POR,W,122,111,-6,0.05,0.144,0.196
2025-03-23,CLE,Away,UTA,UTA,W,120,91,-16.5,0.24,0.121,0.356
2025-03-21,CLE,Away,PHX,PHX,L,112,123,-8.5,0.28,0.146,0.427
2025-03-19,CLE,Away,SAC,SAC,L,119,123,-6.5,0.13,0.125,0.25
2025-03-18,CLE,Away,LAC,LAC,L,119,132,-2.5,0.13,0.17,0.298
2025-03-16,CLE,Home,ORL,CLE,L,103,108,-10,0.15,0.202,0.354
2025-03-14,CLE,Away,MEM,MEM,W,133,124,-2.5,0.15,0.241,0.389
2025-03-11,CLE,Home,BKN,CLE,W,109,104,-14.5,0.19,0.118,0.309
2025-03-09,CLE,Away,MIL,MIL,W,112,100,-7,0.17,0.152,0.324
2025-03-07,CLE,Away,CHA,CHA,W,118,117,-15.5,0.12,0.109,0.228
2025-03-05,CLE,Home,MIA,CLE,W,112,107,-13,0.11,0.093,0.205
2025-03-04,CLE,Away,CHI,CHI,W,139,117,-13.5,0.12,0.225,0.342
2025-03-02,CLE,Home,POR,CLE,W,133,129,-11,0.11,0.171,0.277
2025-02-28,CLE,Away,BOS,BOS,W,123,116,1.5,0.07,0.087,0.152
2025-02-25,CLE,Away,ORL,ORL,W,122,82,-6,0.18,0.138,0.313
2025-02-23,CLE,Home,MEM,CLE,W,129,123,-5.5,0.13,0.131,0.26
2025-02-21,CLE,Home,NYK,CLE,W,142,105,-7.5,0.17,0.13,0.299
2025-02-20,CLE,Away,BKN,BKN,W,110,97,-12.5,0.17,0.074,0.242
2025-02-12,CLE,Away,TOR,TOR,W,131,108,-12.5,0.18,0.198,0.375
2025-02-10,CLE,Home,MIN,CLE,W,128,107,-7.5,0.18,0.124,0.304
2025-02-07,CLE,Away,WAS,WAS,W,134,124,-17.5,0.16,0.141,0.301
2025-02-05,CLE,Away,DET,DET,W,118,115,-3.5,0.14,0.23,0.369
2025-02-04,CLE,Home,BOS,CLE,L,105,112,-1.5,0.13,0.182,0.313
2025-02-02,CLE,Home,DAL,CLE,W,144,101,-15.5,0.27,0.086,0.358
2025-01-30,CLE,Home,ATL,CLE,W,137,115,-11.5,0.15,0.128,0.277
2025-01-29,CLE,Away,MIA,MIA,W,126,106,-6,0.14,0.075,0.212
2025-01-27,CLE,Home,DET,CLE,W,110,91,-11,0.09,0.125,0.217
2025-01-25,CLE,Home,HOU,CLE,L,131,135,-4.5,0.09,0.184,0.275
2025-01-24,CLE,Away,PHI,PHI,L,129,132,-9,0.15,0.092,0.244
2025-01-22,CLE,Away,HOU,HOU,L,108,109,-1,0.13,0.17,0.299
2025-01-20,CLE,Home,PHX,CLE,W,118,92,-8,0.06,0.05,0.112
2025-01-18,CLE,Away,MIN,MIN,W,124,117,-5,0.12,0.074,0.19
2025-01-16,CLE,Away,OKC,OKC,L,114,134,2.5,0.09,0.198,0.286
2025-01-14,CLE,Away,IND,IND,W,127,117,-8,0.09,0.152,0.244
2025-01-12,CLE,Home,IND,CLE,L,93,108,-9,0.08,0.237,0.312
2025-01-09,CLE,Home,TOR,CLE,W,132,126,-13.5,0.12,0.146,0.27
2025-01-08,CLE,Home,OKC,CLE,W,129,122,-3,0.11,0.141,0.251
2025-01-05,CLE,Home,CHA,CLE,W,115,105,-16,0.20,0.168,0.368
2025-01-03,CLE,Away,DAL,DAL,W,134,122,-9.5,0.09,0.152,0.243
2024-12-31,CLE,Away,LAL,LAL,W,122,110,-4.5,0.16,0.15,0.313
2024-12-30,CLE,Away,GSW,GSW,W,113,95,-3.5,0.13,0.063,0.191
2024-12-27,CLE,Away,DEN,DEN,W,149,135,-3.5,0.13,0.162,0.292
2024-12-23,CLE,Home,UTA,CLE,W,124,113,-14,0.21,0.175,0.389
2024-12-21,CLE,Home,PHI,CLE,W,126,99,-9,0.18,0.128,0.307
2024-12-20,CLE,Home,MIL,CLE,W,124,101,-9,0.15,0.143,0.288
2024-12-16,CLE,Away,BKN,BKN,W,130,101,-10.5,0.21,0.16,0.367
2024-12-13,CLE,Home,WAS,CLE,W,115,105,-17,0.16,0.061,0.216
2024-12-08,CLE,Away,MIA,MIA,L,113,122,-2.5,0.12,0.094,0.209
2024-12-07,CLE,Away,CHA,CHA,W,116,102,-13.5,0.11,0.121,0.231
2024-12-05,CLE,Home,DEN,CLE,W,126,114,-3.5,0.16,0.25,0.407
2024-12-03,CLE,Home,WAS,CLE,W,118,87,-16,0.17,0.163,0.328
2024-12-01,CLE,Home,BOS,CLE,W,115,111,-2,0.11,0.165,0.273
2024-11-29,CLE,Away,ATL,ATL,L,101,117,-5.5,0.18,0.162,0.342
2024-11-27,CLE,Home,ATL,CLE,L,124,135,-9,0.15,0.21,0.364
2024-11-24,CLE,Home,TOR,CLE,W,122,108,-11.5,0.13,0.14,0.27
2024-11-20,CLE,Home,NOP,CLE,W,128,100,-14,0.10,0.129,0.232
2024-11-19,CLE,Away,BOS,BOS,L,117,120,7,0.07,0.106,0.18
2024-11-17,CLE,Home,CHA,CLE,W,128,114,-10,0.16,0.137,0.297
2024-11-15,CLE,Home,CHI,CLE,W,144,126,-10,0.11,0.111,0.222
2024-11-13,CLE,Away,PHI,PHI,W,114,106,-11,0.15,0.158,0.304
2024-11-11,CLE,Away,CHI,CHI,W,119,113,-8.5,0.16,0.196,0.359
2024-11-09,CLE,Home,BKN,CLE,W,105,100,-13,0.17,0.087,0.254
2024-11-08,CLE,Home,GSW,CLE,W,136,117,-3.5,0.16,0.109,0.27
2024-11-06,CLE,Away,NOP,NOP,W,131,122,-6.5,0.15,0.124,0.276
2024-11-04,CLE,Home,MIL,CLE,W,116,114,-8,0.15,0.08,0.232
2024-11-02,CLE,Away,MIL,MIL,W,114,113,2,0.14,0.094,0.231
2024-11-01,CLE,Home,ORL,CLE,W,120,109,-7,0.13,0.181,0.311
2024-10-30,CLE,Home,LAL,CLE,W,134,110,-4,0.20,0.211,0.411
2024-10-28,CLE,Away,NYK,NYK,W,110,104,3,0.18,0.116,0.295
2024-10-26,CLE,Away,WAS,WAS,W,135,116,-9.5,0.17,0.12,0.292
2024-10-25,CLE,Home,DET,CLE,W,113,101,-10.5,0.16,0.167,0.322
2024-10-23,CLE,Away,TOR,TOR,W,136,106,-6.5,0.17,0.157,0.326
2025-04-18,DAL,Away,MEM,MEM,L,106,120,6,0.20,0.188,0.388
2025-04-16,DAL,Away,SAC,SAC,W,120,106,5.5,0.07,0.066,0.132
2025-04-13,DAL,Away,MEM,MEM,L,97,132,-2,0.10,0.2,0.298
2025-04-11,DAL,Home,TOR,DAL,W,124,102,-11,0.13,0.175,0.304
2025-04-09,DAL,Home,LAL,DAL,L,97,112,4.5,0.15,0.143,0.295
2025-04-05,DAL,Away,LAC,LAC,L,104,135,9,0.11,0.179,0.284
2025-04-04,DAL,Away,LAC,LAC,L,91,114,12,0.16,0.171,0.331
2025-04-02,DAL,Home,ATL,DAL,W,120,118,-3.5,0.15,0.127,0.274
2025-03-31,DAL,Home,BKN,DAL,L,109,113,-9.5,0.06,0.138,0.202
2025-03-29,DAL,Away,CHI,CHI,W,120,119,3,0.15,0.206,0.357
2025-03-27,DAL,Away,ORL,ORL,W,101,92,7,0.14,0.146,0.281
2025-03-25,DAL,Away,NYK,NYK,L,113,128,12.5,0.11,0.22,0.33
2025-03-24,DAL,Away,BKN,BKN,W,120,101,-3,0.18,0.18,0.36
2025-03-21,DAL,Home,DET,DAL,W,123,117,9.5,0.19,0.186,0.372
2025-03-19,DAL,Away,IND,IND,L,131,135,10.5,0.06,0.125,0.182
2025-03-16,DAL,Home,PHI,DAL,L,125,130,-6.5,0.17,0.216,0.381
2025-03-14,DAL,Away,HOU,HOU,L,96,133,11.5,0.08,0.104,0.188
2025-03-12,DAL,Away,SAS,SAS,L,116,126,6,0.20,0.206,0.406
2025-03-10,DAL,Away,SAS,SAS,W,133,129,7,0.13,0.133,0.266
2025-03-09,DAL,Home,PHX,DAL,L,116,125,6.5,0.19,0.082,0.27
2025-03-07,DAL,Home,MEM,DAL,L,111,122,10,0.14,0.107,0.243
2025-03-05,DAL,Away,MIL,MIL,L,107,137,12,0.15,0.104,0.251
2025-03-03,DAL,Home,SAC,DAL,L,98,122,2,0.12,0.092,0.21
2025-03-01,DAL,Home,MIL,DAL,L,117,132,2.5,0.15,0.196,0.346
2025-02-27,DAL,Home,CHA,DAL,W,103,96,-11,0.19,0.119,0.309
2025-02-25,DAL,Away,LAL,LAL,L,99,107,8.5,0.16,0.182,0.345
2025-02-23,DAL,Away,GSW,GSW,L,102,126,9.5,0.20,0.163,0.361
2025-02-21,DAL,Home,NOP,DAL,W,111,103,-5.5,0.12,0.176,0.293
2025-02-13,DAL,Home,MIA,DAL,W,118,113,3,0.13,0.177,0.302
2025-02-12,DAL,Home,GSW,DAL,W,111,107,8,0.15,0.124,0.27
2025-02-10,DAL,Home,SAC,DAL,L,128,129,1.5,0.14,0.093,0.231
2025-02-08,DAL,Home,HOU,DAL,W,116,105,-3,0.11,0.098,0.207
2025-02-06,DAL,Away,BOS,BOS,W,127,120,12.5,0.10,0.095,0.191
2025-02-04,DAL,Away,PHI,PHI,L,116,118,4,0.13,0.128,0.256
2025-02-02,DAL,Away,CLE,CLE,L,101,144,15.5,0.09,0.272,0.358
2025-01-31,DAL,Away,DET,DET,L,102,117,-1,0.16,0.181,0.342
2025-01-29,DAL,Away,NOP,NOP,W,137,136,-1,0.15,0.204,0.353
2025-01-27,DAL,Home,WAS,DAL,W,130,108,-13,0.12,0.118,0.235
2025-01-25,DAL,Home,BOS,DAL,L,107,122,9,0.13,0.128,0.256
